date,count,result
2021-03-07 05:00:00+00,186,positive
2021-03-08 05:00:00+00,7776,negative
2021-03-08 05:00:00+00,355,positive
2021-03-09 05:00:00+00,5857,negative
2021-03-09 05:00:00+00,332,positive
2021-03-10 05:00:00+00,4904,negative
2021-03-10 05:00:00+00,311,positive
2021-03-11 05:00:00+00,6433,negative
2021-03-11 05:00:00+00,376,positive
2021-03-12 05:00:00+00,333,positive
2021-03-12 05:00:00+00,6033,negative
2021-03-13 05:00:00+00,3865,negative
2021-03-13 05:00:00+00,254,positive
2021-03-14 05:00:00+00,210,positive
2021-03-14 05:00:00+00,2400,negative
2021-03-15 04:00:00+00,7821,negative
2021-03-15 04:00:00+00,495,positive
2021-03-16 04:00:00+00,509,positive
2021-03-16 04:00:00+00,7915,negative
2021-03-17 04:00:00+00,7135,negative
2021-03-17 04:00:00+00,531,positive
2021-03-18 04:00:00+00,475,positive
2021-03-18 04:00:00+00,8105,negative
2021-03-19 04:00:00+00,7933,negative
2021-03-19 04:00:00+00,538,positive
2021-03-20 04:00:00+00,4234,negative
2021-03-20 04:00:00+00,340,positive
2021-03-21 04:00:00+00,319,positive
2021-03-21 04:00:00+00,2722,negative
2021-03-22 04:00:00+00,8592,negative
2021-03-22 04:00:00+00,597,positive
2021-03-23 04:00:00+00,555,positive
2021-03-23 04:00:00+00,8706,negative
2021-03-24 04:00:00+00,7374,negative
2021-03-24 04:00:00+00,610,positive
2021-03-25 04:00:00+00,9529,negative
2021-03-25 04:00:00+00,662,positive
2021-03-26 04:00:00+00,7913,negative
2021-03-26 04:00:00+00,574,positive
2021-03-27 04:00:00+00,4331,negative
2021-03-27 04:00:00+00,378,positive
2021-03-28 04:00:00+00,2732,negative
2021-03-28 04:00:00+00,390,positive
2021-03-29 04:00:00+00,7491,negative
2021-03-29 04:00:00+00,716,positive
2021-03-30 04:00:00+00,7736,negative
2021-03-30 04:00:00+00,642,positive
2021-03-31 04:00:00+00,628,positive
2021-03-31 04:00:00+00,7812,negative
2021-04-01 04:00:00+00,5873,negative
2021-04-01 04:00:00+00,660,positive
2021-04-02 04:00:00+00,6730,negative
2021-04-02 04:00:00+00,591,positive
2021-04-03 04:00:00+00,4582,negative
2021-04-03 04:00:00+00,469,positive
2021-04-04 04:00:00+00,2617,negative
2021-04-04 04:00:00+00,363,positive
2021-04-05 04:00:00+00,9943,negative
2021-04-05 04:00:00+00,748,positive
2021-04-06 04:00:00+00,673,positive
2021-04-06 04:00:00+00,11387,negative
2021-04-07 04:00:00+00,661,positive
2021-04-07 04:00:00+00,10463,negative
2021-04-08 04:00:00+00,680,positive
2021-04-08 04:00:00+00,12265,negative
2021-04-09 04:00:00+00,10751,negative
2021-04-09 04:00:00+00,654,positive
2021-04-10 04:00:00+00,488,positive
2021-04-10 04:00:00+00,5514,negative
2021-04-11 04:00:00+00,3750,negative
2021-04-11 04:00:00+00,420,positive
2021-04-12 04:00:00+00,840,positive
2021-04-12 04:00:00+00,10822,negative
2021-04-13 04:00:00+00,750,positive
2021-04-13 04:00:00+00,11500,negative
2021-04-14 04:00:00+00,701,positive
2021-04-14 04:00:00+00,10404,negative
2021-04-15 04:00:00+00,714,positive
2021-04-15 04:00:00+00,12148,negative
2021-04-16 04:00:00+00,591,positive
2021-04-16 04:00:00+00,11081,negative
2021-04-17 04:00:00+00,5366,negative
2021-04-17 04:00:00+00,426,positive
2021-04-18 04:00:00+00,3278,negative
2021-04-18 04:00:00+00,385,positive
2021-04-19 04:00:00+00,633,positive
2021-04-19 04:00:00+00,10532,negative
2021-04-20 04:00:00+00,10004,negative
2021-04-20 04:00:00+00,520,positive
2021-04-21 04:00:00+00,8066,negative
2021-04-21 04:00:00+00,577,positive
2021-04-22 04:00:00+00,527,positive
2021-04-22 04:00:00+00,9926,negative
2021-04-23 04:00:00+00,483,positive
2021-04-23 04:00:00+00,9414,negative
2021-04-24 04:00:00+00,4202,negative
2021-04-24 04:00:00+00,320,positive
2021-04-25 04:00:00+00,338,positive
2021-04-25 04:00:00+00,2807,negative
2021-04-26 04:00:00+00,552,positive
2021-04-26 04:00:00+00,10176,negative
2021-04-27 04:00:00+00,483,positive
2021-04-27 04:00:00+00,11456,negative
2021-04-28 04:00:00+00,469,positive
2021-04-28 04:00:00+00,8320,negative
2021-04-29 04:00:00+00,447,positive
2021-04-29 04:00:00+00,9537,negative
2021-04-30 04:00:00+00,10164,negative
2021-04-30 04:00:00+00,368,positive
